Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,318,45,49.0,49,65.0,65,45.0,1,False
Ivysaur,Grass,Poison,405,60,62.0,63,80.0,80,60.0,1,False
Venusaur,Grass,Poison,525,80,82.0,83,100.0,100,80.0,1,False
VenusaurMega Venusaur,Grass,Poison,625,80,100.0,123,122.0,120,80.0,1,False
Charmander,Fire,None,309,39,52.0,43,60.0,50,65.0,1,False
Charmeleon,Fire,None,405,58,64.0,58,80.0,65,80.0,1,False
Charizard,Fire,Flying,534,78,84.0,78,109.0,85,100.0,1,False
CharizardMega Charizard X,Fire,Dragon,634,78,130.0,111,130.0,85,100.0,1,False
CharizardMega Charizard Y,Fire,Flying,634,78,104.0,78,159.0,115,100.0,1,False
Squirtle,Water,None,314,44,48.0,65,50.0,64,43.0,1,False
Wartortle,Water,None,405,59,63.0,80,65.0,80,58.0,1,False
Blastoise,Water,None,530,79,83.0,100,85.0,105,78.0,1,False
BlastoiseMega Blastoise,Water,None,630,79,103.0,120,135.0,115,78.0,1,False
Caterpie,Bug,None,195,45,30.0,35,20.0,20,45.0,1,False
Metapod,Bug,None,205,50,20.0,55,25.0,25,30.0,1,False
Butterfree,Bug,Flying,395,60,45.0,50,90.0,80,70.0,1,False
Weedle,Bug,Poison,195,40,35.0,30,20.0,20,50.0,1,False
Kakuna,Bug,Poison,205,45,25.0,50,25.0,25,35.0,1,False
Beedrill,Bug,Poison,395,65,90.0,40,45.0,80,75.0,1,False
BeedrillMega Beedrill,Bug,Poison,495,65,150.0,40,15.0,80,145.0,1,False
Pidgey,Normal,Flying,251,40,45.0,40,35.0,35,56.0,1,False
Pidgeotto,Normal,Flying,349,63,60.0,55,50.0,50,71.0,1,False
Pidgeot,Normal,Flying,479,83,80.0,75,70.0,70,101.0,1,False
PidgeotMega Pidgeot,Normal,Flying,579,83,80.0,80,135.0,80,121.0,1,False
Rattata,Normal,None,253,30,56.0,35,25.0,35,72.0,1,False
Raticate,Normal,None,413,55,81.0,60,50.0,70,97.0,1,False
Spearow,Normal,Flying,262,40,60.0,30,31.0,31,70.0,1,False
Fearow,Normal,Flying,442,65,90.0,65,61.0,61,100.0,1,False
Ekans,Poison,None,288,35,60.0,44,40.0,54,55.0,1,False
Arbok,Poison,None,438,60,85.0,69,65.0,79,80.0,1,False
Pikachu,Electric,None,320,35,55.0,40,50.0,50,90.0,1,False
Raichu,Electric,None,485,60,90.0,55,90.0,80,110.0,1,False
Sandshrew,Ground,None,300,50,75.0,85,20.0,30,40.0,1,False
Sandslash,Ground,None,450,75,100.0,110,45.0,55,65.0,1,False
Nidoran♀,Poison,None,275,55,47.0,52,40.0,40,41.0,1,False
Nidorina,Poison,None,365,70,62.0,67,55.0,55,56.0,1,False
Nidoqueen,Poison,Ground,505,90,92.0,87,75.0,85,76.0,1,False
Nidoran♂,Poison,None,273,46,57.0,40,40.0,40,50.0,1,False
Nidorino,Poison,None,365,61,72.0,57,55.0,55,65.0,1,False
Nidoking,Poison,Ground,505,81,102.0,77,85.0,75,85.0,1,False
Clefairy,Fairy,None,323,70,45.0,48,60.0,65,35.0,1,False
Clefable,Fairy,None,483,95,70.0,73,95.0,90,60.0,1,False
Vulpix,Fire,None,299,38,41.0,40,50.0,65,65.0,1,False
Ninetales,Fire,None,505,73,76.0,75,81.0,100,100.0,1,False
Jigglypuff,Normal,Fairy,270,115,45.0,20,45.0,25,20.0,1,False
Wigglytuff,Normal,Fairy,435,125,70.0,45,85.0,50,45.0,1,False
Zubat,Poison,Flying,245,40,45.0,35,30.0,40,55.0,1,False
Golbat,Poison,Flying,455,75,80.0,70,65.0,75,90.0,1,False
Oddish,Grass,Poison,320,45,50.0,55,75.0,65,30.0,1,False
Gloom,Grass,Poison,395,60,65.0,70,85.0,75,40.0,1,False
Vileplume,Grass,Poison,490,75,80.0,85,110.0,90,50.0,1,False
Paras,Bug,Grass,285,35,70.0,55,45.0,55,25.0,1,False
Parasect,Bug,Grass,405,60,95.0,80,60.0,80,30.0,1,False
Venonat,Bug,Poison,305,60,55.0,50,40.0,55,45.0,1,False
Venomoth,Bug,Poison,450,70,65.0,60,90.0,75,90.0,1,False
Diglett,Ground,None,265,10,55.0,25,35.0,45,95.0,1,False
Dugtrio,Ground,None,405,35,80.0,50,50.0,70,120.0,1,False
Meowth,Normal,None,290,40,45.0,35,40.0,40,90.0,1,False
Persian,Normal,None,440,65,70.0,60,65.0,65,115.0,1,False
Psyduck,Water,None,320,50,52.0,48,65.0,50,55.0,1,False
Golduck,Water,None,500,80,82.0,78,95.0,80,85.0,1,False
Mankey,Fighting,None,305,40,80.0,35,35.0,45,70.0,1,False
